id,title,make,model,year,body_type,color,fuel,transmission,engine_cc,mileage_km,price,price_currency,price_note,city,image,detail_url,scraped_at
11513674,Toyota Prado 2016 for sale in Faisalabad,Toyota,Prado,2016,Suv,Unlisted,Petrol,Automatic,2700,97173,19500000,Pkr,direct,Faisalabad,https://cache2.pakwheels.com/ad_pictures/1436/toyota-prado-tx-4-2016-143602195.jpg,https://www.pakwheels.com/used-cars/toyota-prado-2016-for-sale-in-faisalabad-11484526,2026-05-21 16:45:20
11513684,Toyota Prius 2007 for sale in Faisalabad,Toyota,Prius,2007,Sedan,Silver Metallic,Hybrid,Automatic,1500,215099,3200000,Pkr,converted_from_lacs,Faisalabad,https://cache2.pakwheels.com/ad_pictures/1409/toyota-prius-s-1-5-2007-140904465.jpg,https://www.pakwheels.com/used-cars/toyota-prius-2007-for-sale-in-faisalabad-11312736,2026-05-21 16:45:21
11335443,Toyota Corolla 2005 for sale in Lahore,Toyota,Corolla,2005,Sedan,Black,Petrol,Manual,1800,79284,2020000,Pkr,converted_from_lacs,Lahore,https://cache3.pakwheels.com/ad_pictures/1423/toyota-corolla-altis-1-8-2005-142366003.jpg,https://www.pakwheels.com/used-cars/toyota-corolla-2005-for-sale-in-lahore-11406091,2026-05-21 16:45:21
11319930,Toyota Passo 2022 for sale in Islamabad,Toyota,Passo,2022,Hatchback,Brown,Petrol,Automatic,1000,11400,4850000,Pkr,converted_from_lacs,Islamabad,https://cache2.pakwheels.com/ad_pictures/1440/toyota-passo-x-l-package-s-2022-144021536.jpg,https://www.pakwheels.com/used-cars/toyota-passo-2022-for-sale-in-islamabad-11511466,2026-05-21 16:45:21
11513663,Honda Civic 2017 for sale in Islamabad,Honda,Civic,2017,Sedan,Taffeta White,Petrol,Automatic,1800,112000,4900000,Pkr,converted_from_lacs,Islamabad,https://cache2.pakwheels.com/ad_pictures/1440/honda-civic-oriel-1-8-i-vtec-cvt-2017-144054163.jpg,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11513525,2026-05-21 16:45:21
11513687,Honda City 2000 for sale in Lahore,Honda,City,2000,Sedan,Crystal Black Pearl,Petrol,Manual,1300,10000,1100000,Pkr,converted_from_lacs,Lahore,https://cache4.pakwheels.com/ad_pictures/1423/honda-city-exi-2-2000-142324758.jpg,https://www.pakwheels.com/used-cars/honda-city-2000-for-sale-in-lahore-11397909,2026-05-21 16:45:21
11513625,Honda Civic 2021 for sale in Multan,Honda,Civic,2021,Sedan,Meteoroid Gray,Petrol,Automatic,1800,70000,6300000,Pkr,converted_from_lacs,Multan,https://cache3.pakwheels.com/ad_pictures/1440/honda-civic-oriel-1-8-i-vtec-cvt-2021-144002014.jpg,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-multan-11510204,2026-05-21 16:45:21
11513648,Toyota Prius 2014 for sale in Karachi,Toyota,Prius,2014,Sedan,Black,Hybrid,Automatic,1800,88500,4950000,Pkr,converted_from_lacs,Karachi,https://cache4.pakwheels.com/ad_pictures/1436/toyota-prius-1-8g-touring-selection-2014-143676630.jpg,https://www.pakwheels.com/used-cars/toyota-prius-2014-for-sale-in-karachi-11487158,2026-05-21 16:45:21
11249925,Changan Karvaan 2026 for sale in Faisalabad,Changan,Karvaan,2026,Mini Van,White,Petrol,Manual,1200,10000,3650000,Pkr,converted_from_lacs,Faisalabad,https://cache3.pakwheels.com/ad_pictures/1437/changan-karvaan-plus-1-2-2026-143707000.jpg,https://www.pakwheels.com/used-cars/changan-karvaan-2026-for-sale-in-faisalabad-11491260,2026-05-21 16:45:21
11513688,Daihatsu Hijet 2019 for sale in Karachi,Daihatsu,Hijet,2019,Mini Van,Silver,Petrol,Automatic,660,122000,2325000,Pkr,converted_from_lacs,Karachi,https://cache4.pakwheels.com/ad_pictures/1439/daihatsu-hijet-van-2019-143990493.jpg,https://www.pakwheels.com/used-cars/daihatsu-hijet-2019-for-sale-in-karachi-11509393,2026-05-21 16:45:21
11513649,KIA Sportage L 2025 for sale in Islamabad,Kia,Sportage L,2025,Crossover,Clear White,Hybrid,Automatic,1600,16000,11300000,Pkr,direct,Islamabad,https://cache3.pakwheels.com/ad_pictures/1425/kia-sportage-l-hev-5-2025-142582877.jpg,https://www.pakwheels.com/used-cars/kia-sportage-l-2025-for-sale-in-islamabad-11420457,2026-05-21 16:45:21
11496281,Honda City 2004 for sale in Karachi,Honda,City,2004,Sedan,Urban Titanium,Petrol,Manual,1300,170000,1490000,Pkr,converted_from_lacs,Karachi,https://cache4.pakwheels.com/ad_pictures/1440/honda-city-2004-144052960.jpg,https://www.pakwheels.com/used-cars/honda-city-2004-for-sale-in-karachi-11513454,2026-05-21 16:45:21
11513671,Honda Civic 2021 for sale in Karachi,Honda,Civic,2021,Sedan,White,Petrol,Automatic,1800,30000,6650000,Pkr,converted_from_lacs,Karachi,https://cache1.pakwheels.com/ad_pictures/1440/honda-civic-oriel-1-8-i-vtec-cvt-2021-144047746.jpg,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-karachi-11513137,2026-05-21 16:45:21
11513683,Honda Civic 2021 for sale in Karachi,Honda,Civic,2021,Sedan,Urban Titanium,Petrol,Automatic,1800,30000,6650000,Pkr,converted_from_lacs,Karachi,https://cache1.pakwheels.com/ad_pictures/1440/honda-civic-oriel-1-8-i-vtec-cvt-2021-144047746.jpg,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-karachi-11513137,2026-05-21 16:45:21
11437922,Honda Civic 2015 for sale in Sialkot,Honda,Civic,2015,Sedan,Albastar Silver,Petrol,Automatic,1800,105000,3950000,Pkr,converted_from_lacs,Sialkot,https://cache2.pakwheels.com/ad_pictures/1439/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2015-143943649.jpg,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-sialkot-11506239,2026-05-21 16:45:21
11513682,Toyota Corolla 2017 for sale in Sargodha,Toyota,Corolla,2017,Sedan,Strong Blue,Petrol,Automatic,1600,141000,4675000,Pkr,converted_from_lacs,Sargodha,https://cache1.pakwheels.com/ad_pictures/1438/toyota-corolla-altis-1-8-cvti-2017-143897226.jpg,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-sargodha-11503327,2026-05-21 16:45:21
11513591,Honda Civic 2018 for sale in Lahore,Honda,Civic,2018,Sedan,Taffeta White,Petrol,Automatic,1800,59000,5500000,Pkr,converted_from_lacs,Lahore,https://cache1.pakwheels.com/ad_pictures/1440/honda-civic-oriel-1-8-i-vtec-cvt-2018-144051114.jpg,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11513339,2026-05-21 16:45:21
11513673,Toyota Corolla 2008 for sale in Peshawar,Toyota,Corolla,2008,Sedan,Unlisted,Petrol,Manual,1300,25143,1900000,Pkr,converted_from_lacs,Peshawar,https://cache4.pakwheels.com/ad_pictures/1440/toyota-corolla-xli-2-2008-144019769.jpg,https://www.pakwheels.com/used-cars/toyota-corolla-2008-for-sale-in-peshawar-11511383,2026-05-21 16:45:21
11513672,Toyota Surf 1998 for sale in Quetta,Toyota,Surf,1998,Suv,Silver Metallic,Petrol,Automatic,3400,1,6300000,Pkr,converted_from_lacs,Quetta,https://cache2.pakwheels.com/ad_pictures/1414/toyota-surf-ssr-g-3-4-1998-141479680.jpg,https://www.pakwheels.com/used-cars/toyota-surf-1998-for-sale-in-quetta-11347503,2026-05-21 16:45:21
11513679,Honda City 2000 for sale in Lahore,Honda,City,2000,Compact Sedan,White,Petrol,Manual,1300,10000,1100000,Pkr,converted_from_lacs,Lahore,https://cache4.pakwheels.com/ad_pictures/1423/honda-city-exi-2-2000-142324758.jpg,https://www.pakwheels.com/used-cars/honda-city-2000-for-sale-in-lahore-11397909,2026-05-21 16:45:21
11513677,Jaecoo J7 2026 for sale in Karachi,Jaecoo,J7,2026,Suv,Khaki White,Phev,Automatic,1500,300,10600000,Pkr,direct,Karachi,https://cache2.pakwheels.com/ad_pictures/1432/jaecoo-j7-premium-17-2026-143258678.jpg,https://www.pakwheels.com/used-cars/jaecoo-j7-2026-for-sale-in-karachi-11463183,2026-05-21 16:45:21
